setting,n,seeds,IC,ICIR,rankIC,rankICIR,AR_wc,AR_nc,IR_wc,IR_nc,MDD_wc,MDD_nc
base,1,42,0.06319144598961643,0.46027634270195494,0.0712363734733636,0.5390729212553699,0.13819982385911228,0.2934247829239067,1.369382467760407,2.908604951980681,-0.06317351126694892,-0.049013425041116
tau_scale_10,3,"42,43,44",0.06647183021421296,0.47150836735077484,0.07692043714327154,0.5627307860211679,0.16297991095257872,0.3184831437961172,1.592579773588567,3.1187480320944174,-0.07271158271479763,-0.0607783808519455
tau_scale_05,6,"42,43,44,45,46,47",0.06694410716571876,0.4822599860871951,0.07745143491871782,0.5721870607384465,0.17924093784522327,0.3347230776830841,1.7699955971640315,3.3064288383201097,-0.0730984212864961,-0.05454404617560329
readout_full_g012_d1pma,3,"42,43,44",0.06688203250842087,0.4648582570807058,0.0783971261085295,0.5635252991528302,0.17820658204305123,0.3335685030944176,1.749502317450516,3.2800534175960285,-0.0756619295915599,-0.0595176609711701
full_135,6,"42,43,44,45,46,47",0.06712468375674067,0.48087584540589023,0.07808507706594757,0.5759925927866587,0.1635604873640434,0.3190777077781828,1.6222384376604784,3.160814879986353,-0.0832897489202789,-0.06244026127698383
h2_demean,1,42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
h2_stockexp,3,"42,43,44",0.06132721097608215,0.41200522650398497,0.07777659488438823,0.5289268590856809,0.11024355170544159,0.26553525916227905,1.0267279142555015,2.2151217301414112,-0.18162713333956948,-0.11935325831750274
h12_combo,3,"42,43,44",0.055846640802276096,0.38890015565750036,0.0719439488858406,0.49870192464587737,0.1580150804781388,0.31393569332656307,1.5717433587340826,3.1246141770028943,-0.09443800194038425,-0.06644388609254451
h2_warmq,5,"42,43,44,45,46",0.06469974374704195,0.4318231317272329,0.08014118856457329,0.549462935319366,0.14203760634921248,0.298109950439435,1.2695534856683406,2.671672567475037,-0.10613135574134577,-0.08377718414266239
gbb_g0,2,"42,43",0.06044477353780453,0.44274390388150486,0.07371562757820416,0.5459633363726288,0.15930076469760096,0.3144556738135411,1.6066642687600003,3.180384714724749,-0.06538528319534652,-0.0474164845974339
gbb_g1,2,"42,43",0.058730525076522946,0.40747603344726,0.07308779614293828,0.5021820892915697,0.09337495408160432,0.24903319234250978,0.8727795520295378,2.3273782258096674,-0.15843030865552138,-0.11317471215728937
