arm,seed,daily_rank_ic_mean,information_ratio_with_cost,annualized_return_with_cost,max_drawdown_with_cost,turnover,post_peak_decay,tau_range_utilization
baseline,42,0.0802135033071112,1.8242361843702384,0.1778994192736891,-0.0587419041243442,0.3266650266597314,0.0031979505137927,7.800863246725063e-05
baseline,43,0.0779364675829761,1.3763591601474203,0.1457641366627919,-0.1036087841675715,0.3279083531531934,0.0036398791905474,0.0001559979987866
baseline,44,0.0734636840618917,1.1040441034307875,0.11325407489112,-0.0941133669990975,0.3278341466305137,0.0033480528274233,0.0003120056306472
baseline,45,0.0810262631733833,1.7830060389461466,0.1759496838685506,-0.0691392337168234,0.3268154252210323,0.0037434724830765,7.800863246725063e-05
baseline,46,0.0791611797402832,1.6709368427387603,0.1709351174541142,-0.102481841071968,0.3262111840639761,0.0035475637871178,7.799899939334753e-05
baseline,47,0.0767093645300397,1.9748482963295169,0.1975604920339944,-0.0716533634418684,0.3263012855016289,0.001153725836559,0.0003120056306472
scale0.5,42,0.081065023782954,2.246249996698713,0.2279512045209418,-0.060028636231084,0.3271139784268349,0.0047523540270034,0.0114953590161872
scale0.5,43,0.0788108206496869,1.7738018994155855,0.1785811737620976,-0.0805961407988024,0.3277848142508188,0.0041256094577149,0.0154918998178809
scale0.5,44,0.0723471407212279,1.7208186410225352,0.1774198631627256,-0.0825658240235667,0.3266895215057256,0.0032056819943088,0.00897633908975
scale0.5,45,0.0780966146787956,1.8128059823767688,0.1820591137689305,-0.0616676465453501,0.3276969746912809,0.0025893140703213,0.0064043757891414
scale0.5,46,0.0797544939515225,1.495401380149053,0.1496537774120895,-0.0779478683540262,0.3270879677695955,0.0032932626099068,0.0042879701864839
scale0.5,47,0.0746345157281197,1.570895683321533,0.1597804944445544,-0.075784411766147,0.3249232150586668,0.0010677115140772,0.0159500777119337
