Feature,Metric,N,SpearmanR,t_stat,p_value
market_state_corr_mean_abs,time_ratio,611,-0.33971462857365314,-8.913554153075097,5.709415238411286e-18
market_state_corr_mean_abs,gate_entropy,611,0.30379151955917993,7.868837233914526,1.6411515747323877e-14
market_state_corr_pc1_ratio,time_ratio,611,-0.2950555049633816,-7.620627178376074,9.713523831995384e-14
market_state_corr_pc1_ratio,gate_entropy,611,0.2931778426269491,7.567554999791683,1.4123644191294488e-13
market_vol_20,time_tau,611,-0.2749343823400241,-7.056756443857469,4.654402931943792e-12
market_vol_20,time_half_life,611,-0.2749343823400241,-7.056756443857469,4.654402931943792e-12
market_state_corr_pc1_ratio,factor_gate_entropy,611,-0.27054083472352214,-6.935003194574635,1.0398726703308223e-11
market_state_corr_mean_abs,factor_gate_entropy,611,-0.25582214211648546,-6.530468477375938,1.3838316030309868e-10
market_state_tail_2sigma,time_tau,611,0.21483113374919321,5.428331665064207,8.224067798493752e-08
market_state_tail_2sigma,time_half_life,611,0.21483113374919321,5.428331665064207,8.224067798493752e-08
market_state_tail_2sigma,time_ratio,611,-0.20022227237598914,-5.043192419257683,6.048741029472337e-07
market_state_corr_pc1_ratio,factor_gate_topk_mass_10,611,0.19149183431790792,4.814721434699924,1.8618105041160404e-06
market_vol_20,gate_entropy,611,-0.180110489099184,-4.518649457541748,7.477840634897584e-06
market_state_corr_mean_abs,factor_gate_topk_mass_10,611,0.1617430047332179,4.044739226767869,5.9114471029661425e-05
market_vol_20,time_ratio,611,0.1409091650397381,3.5123906341497433,0.00047697750536791083
market_state_tail_2sigma,gate_entropy,611,0.12995342538829274,3.2344083939588235,0.0012849229418105837
market_vol_20,factor_gate_topk_mass_10,611,-0.10100225113253694,-2.505337818181576,0.012493372420847268
market_vol_20,rank_ic,611,0.08576720269820251,2.1243845487815034,0.034040230355915975
market_vol_20,factor_gate_entropy,611,-0.05609565550885643,-1.3865075957859243,0.1660993104676018
market_state_corr_pc1_ratio,time_tau,611,0.045384082438008115,1.1211402086448665,0.2626700733333241
market_state_corr_pc1_ratio,time_half_life,611,0.045384082438008115,1.1211402086448665,0.2626700733333241
market_state_corr_mean_abs,ic,611,0.04315198537894942,1.0658943343062193,0.2868937986612266
market_state_tail_2sigma,rank_ic,611,0.04203972914861526,1.0383712807379186,0.29950932457439217
market_vol_20,ic,611,0.04121061372954108,1.0178571377415966,0.30915004059414786
market_state_corr_pc1_ratio,ic,611,0.03577996034345159,0.8835409288150109,0.37729272859828356
market_state_tail_2sigma,ic,611,0.026639278501237096,0.6576355137735258,0.5110208510907582
market_state_corr_mean_abs,time_tau,611,0.025016721721056092,0.6175540654869445,0.5371001715435475
market_state_corr_mean_abs,time_half_life,611,0.025016721721056092,0.6175540654869445,0.5371001715435475
market_state_tail_2sigma,factor_gate_entropy,611,0.011014082862089592,0.27182120258103454,0.7858516240650031
market_state_corr_mean_abs,rank_ic,611,0.010005045188368604,0.24691611694269816,0.8050563541611989
market_state_corr_pc1_ratio,rank_ic,611,-0.005709638098484814,-0.14090431957530916,0.8879921229487286
market_state_tail_2sigma,factor_gate_topk_mass_10,611,0.00513641210824165,0.12675766673535038,0.8991740413354931
